,StateName,LocationName,StoreName,Quarter,Revenue,Profit
0,California,NaN,NaN,Q1/2013,56904156.68000001,13756633.79
1,California,NaN,NaN,Q2/2013,54003659.96000001,12121479.799999999
2,California,NaN,NaN,Q3/2013,48495220.96000001,11160252.87
3,California,NaN,NaN,Q4/2013,46970351.08,11635507.610000001
4,California,NaN,NaN,Q1/2014,47951762.160000004,10787638.38
5,California,NaN,NaN,Q2/2014,48718500.839999996,10385429.97
6,California,NaN,NaN,Q3/2014,62335948.12,14744684.77
7,California,NaN,NaN,Q4/2014,69729275.99999999,18031902.25
8,California,NaN,NaN,Q1/2015,75962818.52000001,18668648.729999997
9,California,NaN,NaN,Q2/2015,69844139.72,17684819.369999997
10,California,NaN,NaN,Q3/2015,73209736.44,17924856.18
11,California,NaN,NaN,Q4/2015,69326732.04189199,16579739.799999997
12,Nevada,NaN,NaN,Q1/2013,13239185.760000002,1502482.33
13,Nevada,NaN,NaN,Q2/2013,8892746.360000001,894585.2699999999
14,Nevada,NaN,NaN,Q3/2013,7351224.0,818599.0900000001
15,Nevada,NaN,NaN,Q4/2013,8234013.319999999,964191.55
16,Nevada,NaN,NaN,Q1/2014,6769185.36,752397.7599999999
17,Nevada,NaN,NaN,Q2/2014,6907058.360000001,661073.09
18,Nevada,NaN,NaN,Q3/2014,8419438.96,824421.9900000001
19,Nevada,NaN,NaN,Q4/2014,10019638.64,1456938.14
20,Nevada,NaN,NaN,Q1/2015,8800929.88,1219744.7
21,Nevada,NaN,NaN,Q2/2015,13402156.799999999,1449112.1199999999
22,Nevada,NaN,NaN,Q3/2015,13371235.16,1622145.3800000001
23,Nevada,NaN,NaN,Q4/2015,9098719.920000004,1087943.72
24,Oregon,NaN,NaN,Q1/2013,24783150.240000002,4146345.56
25,Oregon,NaN,NaN,Q2/2013,23312363.000000004,3401973.4299999997
26,Oregon,NaN,NaN,Q3/2013,17614858.439999998,2602944.3699999996
27,Oregon,NaN,NaN,Q4/2013,21040388.2,3838323.13
28,Oregon,NaN,NaN,Q1/2014,17904756.52,2713093.4300000006
29,Oregon,NaN,NaN,Q2/2014,17966982.24,2536860.6300000004
30,Oregon,NaN,NaN,Q3/2014,26662368.52,4389878.63
31,Oregon,NaN,NaN,Q4/2014,34951935.0,6011409.07
32,Oregon,NaN,NaN,Q1/2015,31081960.32,5439251.41
33,Oregon,NaN,NaN,Q2/2015,26390816.4,4484903.89
34,Oregon,NaN,NaN,Q3/2015,27627437.439999998,4864114.149999999
35,Oregon,NaN,NaN,Q4/2015,21814910.68,3872623.06
