,StateName,LocationName,StoreName,Quarter,Revenue,Profit
0,California,Sacramento,Steve Adda,Q1/2013,239434.3,63353.05
1,California,Sacramento,Steve Adda,Q2/2013,378031.0,84332.61000000002
2,California,Sacramento,Steve Adda,Q3/2013,813841.16,194688.59
3,California,Sacramento,Steve Adda,Q4/2013,233473.14,57828.26000000001
4,California,Sacramento,Steve Adda,Q1/2014,272504.52,61655.66
5,California,Sacramento,Steve Adda,Q2/2014,74509.79999999999,19125.850000000002
6,California,Sacramento,Steve Adda,Q3/2014,204916.69999999998,44708.33
7,California,Sacramento,Steve Adda,Q4/2014,155277.46999999997,43943.83
8,California,Sacramento,Steve Adda,Q1/2015,601660.01,150049.71
9,California,Sacramento,Steve Adda,Q2/2015,1133668.02,247164.84000000003
10,California,Sacramento,Steve Adda,Q3/2015,518014.51,114810.41
11,California,Sacramento,Steve Adda,Q4/2015,679296.71,156951.2
12,California,Sacramento,Steves,Q1/2013,229455.18000000002,49532.07
13,California,Sacramento,Steves,Q2/2013,379975.15,76436.79999999999
14,California,Sacramento,Steves,Q3/2013,113988.69999999998,27413.66
15,California,Sacramento,Steves,Q4/2013,234886.66999999998,52437.740000000005
16,California,Sacramento,Steves,Q1/2014,212265.39,58964.87
17,California,Sacramento,Steves,Q2/2014,93585.86,25200.309999999998
18,California,Sacramento,Steves,Q3/2014,190990.25999999998,46397.42
19,California,Sacramento,Steves,Q4/2014,203785.52000000002,56431.229999999996
20,California,Sacramento,Steves,Q1/2015,243218.26,63786.17
21,California,Sacramento,Steves,Q2/2015,234239.32,54729.33
22,California,Sacramento,Steves,Q3/2015,488838.78,113743.81
23,California,Sacramento,Steves,Q4/2015,422377.27999999997,119756.52000000002
24,California,Sacramento,Mstore,Q1/2013,718413.94,181611.16000000003
25,California,Sacramento,Mstore,Q2/2013,439884.61000000004,97314.1
26,California,Sacramento,Mstore,Q3/2013,271667.87,66188.94
27,California,Sacramento,Mstore,Q4/2013,60577.27,17562.899999999998
28,California,Sacramento,Mstore,Q1/2014,151856.78999999998,31663.52
29,California,Sacramento,Mstore,Q2/2014,228903.4,50622.16
30,California,Sacramento,Mstore,Q3/2014,461250.16000000003,99954.32
31,California,Sacramento,Mstore,Q4/2014,384230.26,92612.6
32,California,Sacramento,Mstore,Q1/2015,474672.2,103735.79000000001
33,California,Sacramento,Mstore,Q2/2015,499117.45,117913.16999999998
34,California,Sacramento,Mstore,Q3/2015,540361.21,136961.19
35,California,Sacramento,Mstore,Q4/2015,375157.45,85878.84
36,California,Sacramento,English Bay depot,Q1/2013,448945.75,106139.98
37,California,Sacramento,English Bay depot,Q2/2013,350588.41000000003,63888.40000000001
38,California,Sacramento,English Bay depot,Q3/2013,639849.99,138910.51
39,California,Sacramento,English Bay depot,Q4/2013,442253.36,109363.92
40,California,Sacramento,English Bay depot,Q1/2014,351224.02,79492.76
41,California,Sacramento,English Bay depot,Q2/2014,280623.18,72688.97
42,California,Sacramento,English Bay depot,Q3/2014,337623.42,72642.56
43,California,Sacramento,English Bay depot,Q4/2014,493788.93000000005,120770.47
44,California,Sacramento,English Bay depot,Q1/2015,237878.57,85647.63
45,California,Sacramento,English Bay depot,Q2/2015,527445.3400000001,140780.41999999998
46,California,Sacramento,English Bay depot,Q3/2015,365542.43,111964.79999999999
47,California,Sacramento,English Bay depot,Q4/2015,465174.66000000003,107903.81
48,California,Sacramento,A&A,Q1/2013,776536.5,180288.74
49,California,Sacramento,A&A,Q2/2013,346722.2,90105.0
50,California,Sacramento,A&A,Q3/2013,683197.4500000001,162933.64
51,California,Sacramento,A&A,Q4/2013,761815.8500000001,148563.29
52,California,Sacramento,A&A,Q1/2014,122001.57,39224.65
53,California,Sacramento,A&A,Q2/2014,450833.19000000006,97338.47
54,California,Sacramento,A&A,Q3/2014,460897.7899999999,123843.37
55,California,Sacramento,A&A,Q4/2014,487502.28,113817.59999999999
56,California,Sacramento,A&A,Q1/2015,601644.1699999999,154749.16
57,California,Sacramento,A&A,Q2/2015,194347.25,53736.17
58,California,Sacramento,A&A,Q3/2015,917111.03,234810.67
59,California,Sacramento,A&A,Q4/2015,408266.17000000004,110196.53999999998
60,California,Sacramento,Skyway Mart,Q1/2013,599722.3099999999,153636.11
61,California,Sacramento,Skyway Mart,Q2/2013,471336.02,112082.52
62,California,Sacramento,Skyway Mart,Q3/2013,215327.65000000002,54722.25
63,California,Sacramento,Skyway Mart,Q4/2013,204357.15,52920.75
64,California,Sacramento,Skyway Mart,Q1/2014,98390.97,27732.87
65,California,Sacramento,Skyway Mart,Q2/2014,748704.45,178310.46000000002
66,California,Sacramento,Skyway Mart,Q3/2014,720746.24,174095.74
67,California,Sacramento,Skyway Mart,Q4/2014,410526.6,117383.19
68,California,Sacramento,Skyway Mart,Q1/2015,1013977.0,221334.06
69,California,Sacramento,Skyway Mart,Q2/2015,719187.1100000001,151062.04
70,California,Sacramento,Skyway Mart,Q3/2015,483588.99,88904.15
71,California,Sacramento,Skyway Mart,Q4/2015,744772.53,200278.77000000002
72,California,Sacramento,W-Mart S,Q1/2013,261583.18999999997,62654.33
73,California,Sacramento,W-Mart S,Q2/2013,179652.58,50895.229999999996
74,California,Sacramento,W-Mart S,Q3/2013,192980.38,47308.909999999996
75,California,Sacramento,W-Mart S,Q4/2013,433804.43,93409.12
76,California,Sacramento,W-Mart S,Q1/2014,405863.25,93937.35
77,California,Sacramento,W-Mart S,Q2/2014,476732.57,93573.10999999999
78,California,Sacramento,W-Mart S,Q3/2014,350895.65,85385.93
79,California,Sacramento,W-Mart S,Q4/2014,588789.86,138646.44
80,California,Sacramento,W-Mart S,Q1/2015,501607.5399999999,110643.14000000001
81,California,Sacramento,W-Mart S,Q2/2015,752600.92,199696.9
82,California,Sacramento,W-Mart S,Q3/2015,649818.61,150188.06
83,California,Sacramento,W-Mart S,Q4/2015,608434.79,171266.47999999998
84,California,Los Angeles,Second Hand,Q1/2013,253264.66000000003,70878.01000000001
85,California,Los Angeles,Second Hand,Q2/2013,381248.1999999999,87998.90000000001
86,California,Los Angeles,Second Hand,Q3/2013,263454.01,65017.45
87,California,Los Angeles,Second Hand,Q4/2013,260334.62,69218.56
88,California,Los Angeles,Second Hand,Q1/2014,575643.12,89680.4
89,California,Los Angeles,Second Hand,Q2/2014,574233.1,117530.34
90,California,Los Angeles,Second Hand,Q3/2014,203990.06999999998,46848.9
91,California,Los Angeles,Second Hand,Q4/2014,198572.07,55219.21
92,California,Los Angeles,Second Hand,Q1/2015,1000464.1799999999,232316.55
93,California,Los Angeles,Second Hand,Q2/2015,452384.80000000005,124586.87
94,California,Los Angeles,Second Hand,Q3/2015,183773.76,52071.37
95,California,Los Angeles,Second Hand,Q4/2015,289899.65,76138.20000000001
96,California,Los Angeles,Dora Tolleson,Q1/2013,239434.3,70983.35
97,California,Los Angeles,Dora Tolleson,Q2/2013,378031.0,85235.11
98,California,Los Angeles,Dora Tolleson,Q3/2013,813841.16,213302.56
99,California,Los Angeles,Dora Tolleson,Q4/2013,233473.14,55064.759999999995
100,California,Los Angeles,Dora Tolleson,Q1/2014,272504.52,61348.62999999999
101,California,Los Angeles,Dora Tolleson,Q2/2014,74509.79999999999,20548.18
102,California,Los Angeles,Dora Tolleson,Q3/2014,204916.69999999998,48805.83
103,California,Los Angeles,Dora Tolleson,Q4/2014,155277.46999999997,41926.59
104,California,Los Angeles,Dora Tolleson,Q1/2015,601660.01,123767.72
105,California,Los Angeles,Dora Tolleson,Q2/2015,1133668.02,287453.13
106,California,Los Angeles,Dora Tolleson,Q3/2015,518014.51,111282.84
107,California,Los Angeles,Dora Tolleson,Q4/2015,679296.71,163756.26
108,California,Los Angeles,C-Mart,Q1/2013,229455.18000000002,48015.17
109,California,Los Angeles,C-Mart,Q2/2013,379975.15,83875.52
110,California,Los Angeles,C-Mart,Q3/2013,113988.69999999998,27647.91
111,California,Los Angeles,C-Mart,Q4/2013,234886.66999999998,55743.649999999994
112,California,Los Angeles,C-Mart,Q1/2014,212265.39,47990.92
113,California,Los Angeles,C-Mart,Q2/2014,93585.86,23972.04
114,California,Los Angeles,C-Mart,Q3/2014,190990.25999999998,46671.979999999996
115,California,Los Angeles,C-Mart,Q4/2014,203785.52000000002,57529.08
116,California,Los Angeles,C-Mart,Q1/2015,243218.26,68535.62
117,California,Los Angeles,C-Mart,Q2/2015,234239.32,55377.58
118,California,Los Angeles,C-Mart,Q3/2015,488838.78,120851.81
119,California,Los Angeles,C-Mart,Q4/2015,422377.27999999997,115598.28000000001
120,California,Los Angeles,Park Market,Q1/2013,718413.94,171800.82
121,California,Los Angeles,Park Market,Q2/2013,439884.61000000004,99085.54000000001
122,California,Los Angeles,Park Market,Q3/2013,271667.87,65069.2
123,California,Los Angeles,Park Market,Q4/2013,60577.27,17364.43
124,California,Los Angeles,Park Market,Q1/2014,151856.78999999998,31620.05
125,California,Los Angeles,Park Market,Q2/2014,228903.4,41863.380000000005
126,California,Los Angeles,Park Market,Q3/2014,461250.16000000003,111630.71999999999
127,California,Los Angeles,Park Market,Q4/2014,384230.26,86973.40999999999
128,California,Los Angeles,Park Market,Q1/2015,474672.2,115117.20999999999
129,California,Los Angeles,Park Market,Q2/2015,499117.45,109248.29
