,Indicator,Quarter,Revenue,Profit
0,Alcohol,Q1/2013,18970430.119999997,3028361.2399999998
1,Alcohol,Q2/2013,23470018.84,3573298.7799999993
2,Alcohol,Q3/2013,16071606.879999999,2538920.67
3,Alcohol,Q4/2013,8329275.4799999995,1336778.9
4,Alcohol,Q1/2014,28405647.0,4078831.9299999997
5,Alcohol,Q2/2014,36524637.56,5553489.74
6,Alcohol,Q3/2014,22802965.16,3927088.3000000003
7,Alcohol,Q4/2014,7599640.920000001,1218295.17
8,Alcohol,Q1/2015,12251069.120000001,2248491.28
9,Alcohol,Q2/2015,9985675.36,1747665.3099999998
10,Alcohol,Q3/2015,15683737.240000002,2637526.0200000005
11,Alcohol,Q4/2015,11729172.241891999,2144185.32
12,Juices,Q1/2013,59415307.599999994,10543936.8
13,Juices,Q2/2013,56507194.39999999,10614609.51
14,Juices,Q3/2013,49545171.08,9334731.299999999
15,Juices,Q4/2013,51912018.96000001,9525095.719999999
16,Juices,Q1/2014,32125288.400000006,6109159.53
17,Juices,Q2/2014,30541995.639999997,5775252.279999999
18,Juices,Q3/2014,62103025.720000006,11705180.65
19,Juices,Q4/2014,82075006.64,15324134.969999999
20,Juices,Q1/2015,82686691.28,15524133.43
21,Juices,Q2/2015,80613566.56,14938628.79
22,Juices,Q3/2015,77298187.48,14453133.309999999
23,Juices,Q4/2015,72368586.52,13657129.870000001
24,Carbonated Drinks,Q1/2013,15949060.0,5705642.53
25,Carbonated Drinks,Q2/2013,6033728.68,2183563.73
26,Carbonated Drinks,Q3/2013,7090367.12,2592233.9299999997
27,Carbonated Drinks,Q4/2013,15134177.120000001,5396877.86
28,Carbonated Drinks,Q1/2014,12094768.64,4065138.1100000003
29,Carbonated Drinks,Q2/2014,6124899.720000001,2163882.2600000002
30,Carbonated Drinks,Q3/2014,11472722.280000001,4151844.92
31,Carbonated Drinks,Q4/2014,23788261.599999998,8738102.21
32,Carbonated Drinks,Q1/2015,20215277.2,7407344.369999999
33,Carbonated Drinks,Q2/2015,18595168.52,6830536.91
34,Carbonated Drinks,Q3/2015,20551419.96,7187044.41
35,Carbonated Drinks,Q4/2015,15765588.559999999,5660510.43
36,Energy Drinks,Q1/2013,117039.79999999999,17338.81
37,Energy Drinks,Q2/2013,0.0,0.0
38,Energy Drinks,Q3/2013,513174.51999999996,61762.21000000001
39,Energy Drinks,Q4/2013,228202.68,32383.55
40,Energy Drinks,Q1/2014,0.0,0.0
41,Energy Drinks,Q2/2014,0.0,0.0
42,Energy Drinks,Q3/2014,682913.9199999999,93172.97
43,Energy Drinks,Q4/2014,600087.44,75513.59
44,Energy Drinks,Q1/2015,179625.8,28019.120000000003
45,Energy Drinks,Q2/2015,0.0,0.0
46,Energy Drinks,Q3/2015,154836.96000000002,20012.79
47,Energy Drinks,Q4/2015,70311.07999999999,10688.24
48,Others,Q1/2013,474655.1600000001,110182.29999999997
49,Others,Q2/2013,197827.4,46566.479999999996
50,Others,Q3/2013,240983.80000000002,54148.219999999994
51,Others,Q4/2013,641078.36,146886.25999999998
52,Others,Q1/2014,0.0,0.0
53,Others,Q2/2014,401008.52,90739.41
54,Others,Q3/2014,356128.52,81698.54999999999
55,Others,Q4/2014,637853.04,144203.52
56,Others,Q1/2015,513045.3199999999,119656.64000000001
57,Others,Q2/2015,442702.4799999999,102004.37
58,Others,Q3/2015,520227.39999999997,113399.18
59,Others,Q4/2015,306704.24,67792.72
